name,sex
adhemar ,M
adi ,M
adib ,M
adiel ,M
adil ,M
adila ,F
adilson ,M
adina ,F
adiran ,M
adita ,F
aditardo ,M
aditi ,F
adiva ,F
adlai ,M
adley ,M
admon ,M
ado ,M
adolfina ,F
adolfo ,M
adolph ,M
adon ,M
adonai ,M
adonai-adonai ,M
adonay ,M
adoncia ,F
adonia ,F
adonias ,M
adonis ,M
adora ,F
adoracion ,F
adorar ,F
adorinda ,F
adra ,F
adrea ,A
adrew ,M
adria ,F
adriadna ,F
adrian ,M
adriana ,F
adriano ,M
adriel ,M
adrienne ,F
adrine ,F
adrio ,M
adrion ,M
adulfo ,M
adventor ,M
ady ,F
adyuto ,M
adyutor ,M
aelohim ,M
aeneas ,M
affrica ,F
afia ,M
afiano ,M
afif ,A
afife ,F
afra ,F
afraates ,M
afrael ,M
afric ,F
africa ,A
africano ,M
afrides ,M
afrika ,F
afrodisio ,M
afrodita ,F
afton ,M
aftonio ,M
agabe ,M
agabio ,M
agabo ,M
agamenon ,M
agape ,F
agapio ,M
agapita ,F
agapito ,M
agar ,F
agata ,F
agatangelo ,M
agate ,A
agatha ,F
agatoclia ,F
agatodoro ,M
agaton ,M
agatonica ,F
agatonico ,M
agatopodes ,M
agatopodo ,M
agenor ,M
ageo ,M
agerico ,M
aggie ,F
aghavni ,F
agide ,M
agilberto ,M
agileo ,M
aglae ,F
agliberto ,M
agnano ,M
agnelo ,M
agnes ,F
agnese ,F
agnetha ,F
agnew ,M
agñel ,F
agoardo ,M
agop ,M
agostina ,F
agostino ,M
agricio ,M
agricola ,M
agripa ,M
agripina ,F
agripino ,M
aguaclara ,F
agueda ,F
aguri ,M
agusti ,M
agustin ,M
agustina ,F
agustino ,M
aharon ,M
ahava ,F
ahearn ,M
ahian ,M
ahilton ,M
ahmad ,M
ahmed ,M
ahmik ,M
aiad ,A
aiako ,F
aiala ,F
aicardo ,M
aicha ,F
aida ,F
aidan ,M
aidano ,M
aide ,F
aielet ,F
aien ,A
aigulfo ,M
aike ,A
aiken ,F
aiko ,F
aila ,F
aileen ,F
ailen ,F
ailer ,F
ailin ,F
ailish ,F
ailla ,F
ailsa ,F
aimar ,M
aimara ,F
aimara-aimara ,A
aimardo ,M
aime ,F
aimee ,F
aimeri ,F
aimery ,M
aimi ,F
aimie ,F
aimon ,M
ain ,A
ain ,M
aina ,F
ainalen ,F
ainana ,F
ainao ,A
ainara ,F
aine ,F
ainelen ,F
ainhoa ,F
ainsley ,F
ainslie ,M
aiosha ,M
aira ,F
airlia ,F
aischa ,F
aisha ,F
aisling ,F
aislinn ,F
aissatou ,F
aitalas ,M
aitana ,F
aitel ,M
aitiana ,F
aitor ,M
aixa ,F
aiyana ,F
ajani ,M
ajay ,M
ajmet ,M
akagi ,M
akane ,F
akanke ,F
akari ,M
akasma ,F
akbar ,M
akela ,F
akemi ,F
aki ,M
akiko ,F
akil ,M
akilah ,A
akilina ,A
akina ,F
akio ,M
akira ,M
akiva ,M
aksel ,M
al ,M
alaa ,F
alaciel ,M
aladdin ,M
aladino ,M
alahi ,F
alaide ,F
alain ,M
alair ,M
alala ,F
alan ,M
alana ,F
alan-alan ,A
alani ,F
alanis ,F
alanna ,F
alano ,M
alaor ,M
alaqua ,F
alaric ,M
alarico ,M
alario ,M
alastair ,M
alaura ,F
alavda ,F
alavon ,M
alaya ,F
alayde ,F
alayn ,M
alazne ,F
alba ,F
alban ,M
albana ,F
alban-alban ,M
albano ,M
albar ,M
alben ,M
alberica ,F
alberico ,M
albert ,M
alberta ,F
albertina ,F
albertino ,M
alberto ,M
albester ,F
albicio ,M
albida ,F
albin ,M
albina ,F
albinka ,F
albino ,M
alblina ,F
albuino ,M
alcadio ,M
alcander ,M
alcara ,F
alceo ,M
alcia ,F
alcibiades ,M
alcides ,M
alcina ,F
alcira ,F
alcmena ,F
alcott ,A
alcuino ,M
alda ,F
aldabel ,F
aldabella ,F
aldair ,M
aldan ,M
aldana ,F
aldara ,F
aldea ,F
aldebar ,M
aldebaran ,M
aldegunda ,F
aldelmo ,M
aldemar ,M
alden ,M
alder ,M
aldercy ,F
alderico ,M
aldevar ,M
aldina ,F
aldo ,M
aldonza ,M
ale ,A
alea ,F
aleandro ,M
aleardo ,M
alec ,M
alecia ,F
alecio ,M
aleeza ,F
alegra ,F
alegre ,F
alegria ,F
aleida ,F
aleix ,M
alejandra ,F
alejandrina ,F
alejandrino ,M
alejandro ,M
alejo ,M
alek ,M
aleka ,F
aleksan ,M
aleksander ,M
aleksandra ,F
aleksey ,M
aleksy ,M
aleli ,F
alelia ,F
alem ,M
alen ,A
alena ,F
alenka ,F
alepio ,M
aleray ,F
aleron ,M
alesandra ,F
alesandro ,M
aleser ,M
alesia ,F
alesio ,M
alesis ,M
alessandra ,F
alessandro ,M
alessia ,F
alessio ,M
aleta ,F
alethea ,F
alethia ,F
aletta ,F
alex ,M
alexa ,F
alexan ,M
alexander ,M
alexandra ,F
alexandre ,M
alexandria ,F
alexandrina ,F
alexandro ,M
alexandros ,M
alexeev ,M
alexei ,M
alexey ,M
alexia ,F
alexiana ,F
alexina ,F
alexio ,M
alexis ,M
alexsander ,M
alexsandra ,F
aley ,A
aleya ,F
alfa ,M
alfaro ,M
alfeo ,M
alfia ,F
alfieri ,M
alfio ,M
alfonsa ,F
alfonsina ,F
alfonso ,M
alfred ,M
alfredo ,M
algar ,M
alger ,M
algerico ,M
alheli ,F
alhue ,M
alhueche ,A
ali ,M
alia ,F
ali-ali ,M
alian ,A
alibar ,M
aliberta ,F
aliberto ,M
alice ,F
alicia ,F
alida ,F
alide ,F
alides ,M
alidia ,F
alihuem ,M
alihuen ,A
alik ,M
alike ,F
aliki ,F
alilia ,F
alilmen ,M
alim ,M
alima ,F
alin ,F
alina ,F
alinda ,F
aline ,F
alio ,M
alipio ,M
aliquen ,M
alira ,F
alis ,F
alisa ,F
aliska ,F
alison ,F
alissa ,F
alistair ,M
alister ,M
alit ,F
alita ,F
alithia ,F
alix ,F
aliza ,F
alize ,F
alkos ,M
alkun ,M
allan ,M
allard ,M
allegra ,F
allen ,M
allison ,F
alma ,F
alma almendra ,A
almabella ,F
almando ,M
almandos ,M
almanzor ,M
almaquio ,M
almendra ,F
almiro ,M
almudena ,F
alodia ,F
alodie ,F
alois ,M
aloisio ,M
aloiz ,M
alojz ,M
alomai ,F
alomias ,M
alon ,M
alona ,F
alondra ,F
alonso ,M
alor ,M
alosnos ,M
aloysia ,F
alphonse ,M
alpiniano ,M
alsacia ,F
alston ,M
altagracia ,F
altair ,F
altaira ,F
altaire ,F
altea ,F
alter ,M
althea ,F
altieri ,A
alton ,M
alucio ,M
aluel ,M
aluen ,A
aluhe ,A
alula ,M
alulay ,F
alumine ,F
alun ,F
aluney ,A
alva ,A
alvand ,M
alvar ,M
alvaro ,M
alvesio ,M
alvia ,F
alvida ,F
alvin ,M
alvina ,F
alvis ,M
alvita ,F
alys ,F
alysa ,F
alyson ,F
alyssa ,F
alzena ,F
amabel ,F
amabelia ,F
amabelio ,M
amable ,F
amada ,F
amadeo ,M
amadeus ,M
amadio ,M
amadis ,M
amadis ,F
amado ,M
amador ,M
amael ,M
amaia ,F
amaicha ,F
amaike ,A
amal ,F
amaldo ,M
amalfi ,M
amali ,F
amalia ,F
amalin ,F
amalio ,M
amaltea ,F
amambay ,F
aman ,M
amana ,F
amancai ,F
amancay ,F
amancio ,M
amanda ,F
amandine ,F
amandio ,M
amando ,M
amangai ,F
amani ,A
amankaya ,A
amantze ,F
amapola ,F
amara ,F
amarande ,F
amaranta ,F
amarante ,F
amaranto ,M
amarella ,F
amarena ,F
amarili ,F
amarino ,M
amarire ,F
amaris ,F
amaro ,M
amaru ,F
amaryllis ,F
amata ,F
amatista ,F
amauri ,M
amaury ,F
amauta ,F
amaya ,F
ambar ,F
ambay ,A
amber ,F
ambico ,M
ambika ,F
ambrosia ,F
ambrosio ,M
amebella ,F
amed ,M
amedeo ,M
ameerah ,F
ameghino ,M
amel ,M
amelberga ,F
amelia ,F
amelida ,F
amelie ,F
amelin ,F
amelina ,F
amelio ,M
amen ,M
amena ,F
america ,F
americo ,M
amethyst ,F
ami ,F
amideo ,M
amiel ,M
amiela ,F
amijay ,F
amilcar ,M
amin ,M
amina ,F
aminca ,F
aminda ,F
amine ,F
aminta ,F
amir ,M
amira ,F
amiri ,M
amissa ,F
amit ,M
amitai ,F
amittai ,M
amity ,F
amman ,A
ammi ,F
ammia ,F
ammiano ,M
ammiel ,M
ammon ,M
ammonaria ,F
ammonio ,M
amnedis ,F
amneris ,F
amoa ,M
amon ,M
amor ,A
amorela ,F
amoriana ,F
amorina ,F
amorino ,M
amory ,F
amos ,M
amparo ,F
ampelio ,M
ampelo ,M
ampliado ,M
amuyen ,M
amuyen ,A
amy ,F
amye ,F
an ,F
an cecil ,F
ana ,F
ana de la paz ,F
ana de las ermitas ,F
anaba ,F
anabel ,F
anabela ,F
anabeli ,F
anabelia ,F
anabella ,F
anacario ,M
anacarla ,F
anacelis ,F
anacelli ,F
anaclara ,F
anacleta ,F
anacleto ,M
anacreonte ,M
anadelia ,F
anadina ,F
anael ,A
anaelle ,F
anahi ,F
anahiancy ,F
anahid ,F
anais ,F
analaura ,F
analena ,F
anali ,F
analia ,F
analis ,F
analisa ,F
analiz ,F
analua ,F
analuz ,F
analy ,F
anama ,F
anamilla ,F
anamlor ,F
ananda ,F
anandi ,F
anando ,M
ananelia ,F
ananias ,M
ananke ,F
ananquel ,F
anarda ,F
anasol ,F
anastacia ,F
anastacio ,M
anastasia ,F
anastasio ,M
anastay ,F
anat ,A
anatalia ,F
anatalio ,M
anatalon ,M
anatay ,F
anatiel ,F
anatilde ,F
anatol ,M
anatole ,M
anatolia ,F
anatolio ,M
anatonia ,F
anavi ,F
anaxagoras ,M
anbel ,F
ancelin ,F
ande ,M
andeolo ,M
ander ,M
anders ,M
andes ,M
andi ,F
andina ,F
andino ,M
andoni ,M
andoquio ,M
andra ,F
andranik ,M
andras ,A
andre ,M
andre vinicius ,M
andrea ,A
andrea celeste ,F
andrea de los angeles ,F
andrea soledad ,F
andreana ,F
andreas ,M
andrei ,M
andreina ,F
andreolo ,M
andres ,M
andresa ,F
andretta ,F
andreus ,M
andrew ,M
andrey ,M
andrian ,M
andries ,M
andrina ,F
andro ,M
androcles ,M
androgeo ,M
andromaca ,F
andromeda ,F
andronico ,M
andry ,M
andura ,F
andy ,M
aneano ,M
anecto ,M
aneider ,F
anela ,F
anele ,M
anelei ,F
anelen ,F
aneley ,F
anelida ,F
anelina ,F
anelisa ,F
anelise ,F
anella ,F
anemone ,F
anempodisto ,M
anera ,F
anesio ,M
anete ,F
anette ,F
anezka ,F
anfiloquio ,M
anfion ,M
angel ,M
angela ,F
angeles ,F
angelia ,F
angelica ,F
angelico ,M
angelina ,F
angeline ,F
angelines ,F
angelino ,M
angelique ,F
angelita ,F
angelmo ,M
angelo ,M
angeni ,F
angie ,F
angilberto ,M
angiolina ,F
angulo ,M
angus ,M
angustias ,F
anhelen ,F
anhid ,F
ani ,F
ania ,F
aniah ,M
aniana ,F
aniano ,M
anibal ,M
anica ,F
anicar ,M
anicelli ,F
aniceta ,F
aniceto ,M
anicia ,F
aniel ,F
aniela ,F
anieli ,M
aniella ,F
aniello ,M
anika ,F
aniko ,F
anil ,A
anina ,F
anine ,F
aniria ,F
anis ,M
anisa ,F
anise ,F
anisi ,A
anisia ,F
anisio ,M
anita ,F
anixe ,F
anju ,F
anke ,F
anker ,M
ankine ,A
ann ,F
anna ,F
annabel ,F
annabella ,F
annaly ,F
anne ,F
annelene ,F
annelie ,F
anneliese ,F
annelise ,F
annella ,F
anneris ,F
annette ,F
anni ,F
annia ,F
annick ,F
annie ,F
annika ,F
annis ,F
annoha ,F
annora ,F
annuar ,M
anoel ,A
anoha ,F
anoki ,M
anolfo ,M
anon ,M
anouk ,F
anoush ,F
anoux ,F
anquilberto ,M
anquises ,M
ansalmo ,M
ansano ,M
ansberto ,M
anscario ,M
ansel ,M
anselma ,F
anselme ,M
anselmo ,M
ansenuza ,F
ansley ,A
ansovino ,M
antar ,M
antara ,F
antares ,M
ante ,M
anteia ,F
antelmo ,M
antelo ,M
antenor ,M
anteo ,M
anteria ,F
antero ,M
antes ,M
anthea ,F
anthony ,M
anti ,A
antia ,F
antidio ,M
antigona ,F
antigono ,M
antil ,A
antimo ,M
antinia ,F
antinisca ,F
antino ,M
antinogenes ,M
antioco ,M
antipas ,M
antje ,F
antoine ,M
antoliano ,M
antolin ,M
antolina ,F
anton ,M
antonela ,F
antonella ,F
antonello ,M
antonia ,F
antonieta ,F
antoniete ,F
antonina ,F
antonino ,M
antonio ,M
antony ,M
antranig ,M
antsise ,M
antu ,A
antual ,M
antuan ,M
antuel ,M
antulio ,M
antun ,M
antusa ,F
anu ,M
anuar ,M
anuka ,F
anunciacion ,F
anunciada ,F
anush ,F
anwar ,M
any ,F
anya ,F
anyel ,F
anyelen ,F
añes ,F
añi nala ,F
aoife ,F
aolani ,F
aoniken ,F
aparecida ,F
aparicio ,M
apaz ,M
apees ,M
apeles ,M
apelio ,M
apia ,F
apiano ,M
apirka ,F
apodemio ,M
apolinar ,M
apolinaria ,F
apolinario ,M
apolinia ,F
apolinio ,M
apollinaire ,M
apolline ,F
apolo ,M
apolodoro ,M
apolonia ,F
apolonio ,M
aponi ,F
april ,F
apro ,M
aproniano ,M
aptonio ,M
apuleyo ,M
aquene ,F
aquila ,M
aquileo ,M
aquiles ,M
aquilesia ,F
aquilina ,F
aquilino ,M
ara ,A
arabela ,F
arabia ,M
araceli ,F
aracelia ,F
aracelica ,F
aracelis ,F
aracelli ,F
araci ,F
aracio ,M
aracoeli ,F
aracy ,F
arador ,M
arai ,A
arakel ,M
araksi ,F
aram ,M
arami ,A
aramil ,A
araminta ,F
aramis ,M
aramita ,F
aran ,M
aran yaik ,M
arandu ,A
arantxa ,F
arantya ,F
arantza ,F
arantzazu ,F
aranza ,F
aranzazo ,F
aranzazu ,F
araon ,M
arapey ,F
arash ,M
araucaria ,F
arauco ,M
araxi ,F
arbas ,M
arbogasto ,M
arcadia ,F
arcadio ,M
arcana ,F
arcangel ,M
arcangela ,F
arcelia ,F
arcelio ,M
arcenia ,F
arcenio ,M
archak ,M
archaluis ,M
archer ,M
archibald ,M
archibaldo ,M
archivaldo ,M
arconcio ,M
ardaches ,M
ardalion ,M
ardashes ,M
ardelia ,F
arden ,M
ardin ,M
ardis ,F
ardon ,M
arduino ,M
are ,A
areb ,M
arebela ,F
arecio ,M
aref ,M
arek ,M
arel ,A
areli ,F
areliz ,F
arella ,F
aren ,M
arena ,F
ares ,M
aresio ,M
aretas ,M
aretha ,F
areti ,F
aretina ,F
aretusa ,F
arev ,A
arfelio ,M
arge ,A
argelia ,F
argelio ,M
argemina ,F
argen ,F
argentina ,F
argentino ,M
argeo ,M
argimiro ,M
argina ,F
argos ,M
argus ,M
argyroula ,A
ari ,M
aria ,F
ariadna ,F
ariadne ,F
ariagna ,F
arian ,M
ariana ,F
ariane ,F
arianna ,F
arianne ,F
ariano ,M
aric ,M
aricel ,F
aricelli ,F
aricia ,F
aricin ,M
aridea ,F
arie ,M
arieh ,M
ariel ,M
ariela ,F
ariella ,F
arielle ,F
ariene ,F
arietta ,F
arif ,M
arik ,M
arika ,F
arim ,M
ario ,M
arion ,M
ariosto ,M
aris ,M
arispidis ,M
arista ,F
aristarco ,M
aristeo ,M
aristides ,M
aristion ,M
aristipo ,M
aristo ,M
aristobulo ,M
aristocles ,M
aristofanes ,M
aristofanis ,M
ariston ,M
aristonico ,M
aristoteles ,M
arjan ,M
arjuna ,A
arkin ,M
arlene ,F
arlette ,A
arlinet ,F
arman ,M
armand ,M
armanda ,F
armande ,M
armandina ,F
armando ,M
armelio ,M
armen ,M
armen shant ,M
armengol ,M
armenia ,F
armentaria ,F
armentario ,M
armenuhi ,F
armida ,F
armin ,M
arminda ,F
armindo ,M
arminta ,F
armogastes ,M
armonia ,F
arnalda ,F
arnaldo ,M
arnaud ,M
arndt ,M
arne ,M
arner ,M
arneris ,F
arnie ,M
arno ,M
arnol ,M
arnold ,M
arnoldo ,M
arnolfo ,M
arnon ,M
arnulfo ,M
aroa ,F
arol ,M
aroldo ,M
aron aaron ,M
aroncio ,M
arquelao ,M
arquibaldo ,M
arquimbaldo ,M
arquimedes ,M
arquimidis ,M
arquipo ,M
arrigo ,M
arrio ,M
arroldo ,M
arsacio ,M
arsen ,M
arsenia ,F
arsenio ,M
arshak ,M
art ,M
artajerjes ,M
artaldo ,M
artemia ,F
artemio ,M
artemisa ,F
artemon ,M
artenio ,M
arthur ,M
artin ,M
arturo ,M
aruanda ,F
aruna ,F
aruni ,A
arvid ,M
arvo ,M
ary ,M
aryan ,M
aryana ,F
ary-ari ,M
arydea ,F
arydia ,F
arye ,M
asa ,M
asaar ,M
asad ,M
asael ,M
asaf ,M
asafa ,M
asafo ,M
asaley ,A
asalf ,M
asbed ,M
asbel ,M
ascension ,A
ascla ,F
asclas ,M
asclepiades ,M
asclepiodoto ,M
asdrubal ,M
asei ,M
asela ,F
asem ,M
asencio ,M
aser ,M
aset ,M
asha ,F
ashanti ,F
asher ,M
ashera ,F
ashford ,M
ashjen ,M
ashlan ,A
ashley ,A
ashlin ,M
ashling ,F
ashly ,F
ashpa munascka ,F
ashtar ,M
ashur ,M
asia ,F
asier ,M
asincrito ,M
asis ,M
asise ,M
aslan ,M
asmara ,F
asmodeo ,M
asof ,M
aspasia ,F
aspreno ,M
assur ,M
asta ,F
astalora ,F
astera ,F
asteria ,F
asterio ,M
astio ,M
astolfo ,M
astor ,M
astra ,F
astrea ,F
astrid ,F
astrubal ,M
astur ,M
asuero ,M
asuncion ,F
asunta ,F
atahualpa ,M
atala ,F
atalas ,M
atalia ,F
atalicio ,M
atalina ,F
ataliva ,M
atalivar ,M
atalo ,M
atanacia ,F
atanacio ,M
atanasia ,F
atanasio ,M
atara ,F
ataria ,F
atef ,M
atenagoras ,M
atenas ,F
atenea ,F
ateneas ,F
atenodoro ,M
atenogenes ,M
atenor ,M
atensa ,F
athalia ,F
athan ,M
athena ,F
athenas ,F
atherton ,M
athina ,F
athos ,M
atiana ,F
atica ,F
atico ,M
atieh ,M
atiel ,M
atiela ,F
atifa ,F
atila ,M
atilano ,M
atiliano ,M
atiliba ,M
atilio ,M
atina ,F
atiy ,A
atminda ,F
aton ,M
atos ,M
attar ,M
atuel ,M
atzin ,A
auberta ,F
auberto ,M
aubino ,M
aubrey ,M
auca ,M
aucan ,A
aucto ,M
auda ,F
audacto ,M
audaz ,M
audberto ,M
aude ,F
audelia ,F
audeliana ,F
audeliano ,M
audelina ,F
audelino ,M
audelio ,M
auden ,M
audi ,F
audifaz ,M
audoeno ,M
audomaro ,M
audra ,F
audrey ,F
audric ,M
audry ,F
audun ,M
augulo ,M
augurio ,M
august ,M
augusta ,F
augustal ,M
augustin ,M
augustine ,A
augusto ,M
augustus ,M
aukha ,M
auki ,A
aunario ,M
aura ,F
aurco ,M
aure ,F
aurea ,F
auree ,F
aurek ,F
aurelia ,F
aureliana ,F
aureliano ,M
aurelina ,F
aurelio ,M
aureo ,M
auri ,F
auria ,F
auricio ,M
aurico ,M
aurilia ,F
auristela ,F
aurora ,F
ausano ,M
ausonia ,F
ausonio ,M
auspicio ,M
austin ,M
austreberta ,F
austregisilo ,M
austremonio ,M
austricliniano ,M
autana ,F
autonomo ,M
autumm ,F
auxano ,M
auxencio ,M
auxibio ,M
auxiliadora ,F
auxilio ,M
auxtina ,F
ava ,F
ave ,F
avedis ,M
avelina ,F
avelino ,M
avena ,F
aventino ,M
avery ,M
avi ,A
avigdor ,M
avilio ,M
avital ,F
avito ,M
aviv ,M
aviva ,F
avril ,F
axel ,M
aya ,F
ayalen ,F
ayame ,F
ayar ,A
ayarai ,M
ayax ,M
ayelen ,F
ayelet ,F
ayen ,F
ayerai ,A
ayeray ,A
ayesa ,F
ayesha ,F
ayhesa ,F
ayiana ,F
ayisha ,F
ayita ,F
ayla ,F
aylen ,A
aylin ,F
aymara ,F
aymee ,F
aynay ,F
aynelen ,F
ayoka ,F
ayrampu ,A
ayren ,A
ayrton ,M
ayul ,M
ayumi ,F
ayun ,A
azadanes ,M
azades ,M
azael ,M
azalea ,F
azalia ,F
azarias ,M
azariel ,M
azas ,M
azed ,M
azize ,M
azrael ,M
azucena ,F
azucena del valle ,F
azul ,F
azulilem ,A
azulilen ,A
azuray ,F
baal ,A
babeli ,F
babet ,F
babette ,F
babil ,M
babilas ,M
bachar ,F
baco ,M
badda ,F
bademo ,M
bader ,M
badia ,F
badiha ,F
badir ,M
badra ,F
bahari ,M
bahia ,F
bahiana ,F
bahiano ,M
bahie ,F
bahich ,M
baiana ,F
bail ,M
bailey ,M
bainbridge ,M
baird ,M
baka ,F
balarama ,M
balbanera ,F
balbiana ,F
balbina ,F
balbino ,M
balbo ,M
balder ,M
baldomar ,M
baldomera ,F
baldomero ,M
balduino ,M
baldur ,M
baldwin ,M
bali ,M
balint ,M
baliwani ,F
ballard ,A
baltar ,M
baltasar ,M
baltazar ,M
balthazar ,M
baltilde ,F
bambu ,M
banbury ,M
bancroft ,M
baptiste ,M
baraquisio ,M
barbaciano ,M
barbara ,F
barbarina ,F
barbato ,M
barbea ,F
barbelo ,M
barbra ,F
barcario ,M
barclay ,M
barcli ,F
barden ,M
bardo ,M
bardomiano ,M
barena ,F
baris ,M
barkev ,M
barlaan ,M
barlaam ,M
barnabas ,M
barnard ,M
barnett ,M
barney ,M
baroncio ,M
barrett ,M
barry ,M
barsabas ,M
barsanufio ,M
barsen ,M
barsimeo ,M
bart ,M
bartolo ,M
bartolome ,M
bartolomea ,F
barton ,M
baruc ,M
baruch ,M
baruir ,M
baruj ,M
barula ,M
basa ,F
basha ,F
basi ,F
basia ,F
basiana ,F
basiano ,M
basil ,M
basila ,F
basileo ,M
basilia ,F
basiliano ,M
basilides ,M
basilio ,M
basilisa ,F
basilisco ,M
basimah ,F
basolo ,M
bassa ,F
bassi ,M
basso ,M
bast ,M
bastian ,M
bastiana ,F
bat ,M
batana ,F
batia ,F
batilde ,F
batista ,M
batsheva ,F
battista ,M
batul ,F
batya ,F
baudelio ,M
baudilia ,F
baudilio ,M
baudillo ,M
bautista ,M
bavon ,M
baxter ,M
bay ,A
bayaceto ,M
bayan ,M
bayard ,M
bayo ,F
bayulo ,M
beacan ,M
beagan ,M
beaman ,M
beano ,M
beata ,F
beato ,M
beatrice ,F
beatrix ,F
beatriz ,F
beattie ,F
beau ,M
beaumont ,M
beauregard ,M
becca ,F
beck ,M
beda ,M
bedelia ,F
beder ,M
begga ,F
begoña ,F
begonia ,F
beism ,M
bejle ,F
bel ,F
bela ,A
belana ,F
belara ,F
belarmina ,F
belarmino ,M
beldon ,M
belen ,A
belena ,F
belerofonte ,M
belgrano ,M
belia ,F
belina ,F
belinda ,F
belindo ,M
belino ,M
belisa ,F
belisaria ,F
belisario ,M
belizario ,M
belkys ,F
belkyss ,F
bell ,A
bella ,F
bellanca ,F
belle ,F
belona ,F
belquis ,F
belsy ,F
beltran ,M
bem ,M
ben ,M
ben hur ,A
bena ,F
benedeto ,M
benedetta ,F
benedict ,M
benedicta ,M
benedicto ,M
benen ,M
benet ,M
beneta ,F
benett ,M
benicia ,F
benicio ,M
benigna ,F
benigno ,M
benilda ,F
benilde ,F
benildes ,F
benisia ,F
benita ,F
benito ,M
benjamin ,M
benjamina ,F
benjasmin ,F
bennett ,M
benny ,M
benoit ,M
benon ,M
benson ,M
bent ,M
bente ,F
bentley ,M
beoña ,F
beraja ,F
beraldo ,M
beranger ,M
berarda ,F
berardo ,M
bercario ,M
berenci ,F
berend ,M
berenece ,F
berenger ,M
berenice ,F
berenise ,F
bergo ,M
bergren ,M
berit ,F
berjuhi ,A
berk ,M
berkeley ,M
berko ,M
bern ,M
berna ,F
bernabe ,M
bernabela ,F
bernabella ,F
bernadete ,F
bernadette ,F
bernadino ,M
bernadine ,F
bernadita ,F
bernard ,M
bernarda ,F
bernardette ,F
bernardina ,F
bernardino ,M
bernardita ,F
bernardo ,M
bernave ,M
bernd ,M
berne ,M
berniago ,M
bernice ,F
berno ,M
bernie ,M
bernon ,M
bernwardo ,M
beronico ,M
bert ,M
berta ,F
bertel ,M
bertha ,F
berthold ,M
bertil ,M
bertila ,F
bertilda ,F
bertilia ,F
bertina ,F
bertin ,M
bertino ,M
berto ,M
bertolo ,M
bertolda ,F
bertoldo ,M
berton ,M
bertran ,M
bertrand ,M
bertulfo ,M
beryl ,A
bes ,F
besa ,M
besarion ,M
beshara ,M
bess ,F
beta ,F
betania ,F
beth ,F
bethania ,F
bethany ,F
bethel ,F
bethsabe ,F
betiana ,F
betina ,F
betsabe ,F
betsy ,F
bette ,F
bettiana ,F
bettina ,F
betty ,F
beulah ,F
bevan ,M
beverly ,A
bevin ,A
bexamia ,F
bhoomika ,F
bialy ,M
bianca ,F
bianco ,M
bian ,F
bianor ,M
bibi ,F
bibiano ,M
bibiana ,F
biblides ,M
biblis ,F
bice ,F
bicor ,M
bidelia ,F
bienvenida ,F
bienvenido ,M
bigay ,F
bilal ,M
billy ,M
bilma ,F
bina ,F
biniamin ,M
binny ,F
birch ,M
birget ,F
birgitta ,F
birilo ,M
birino ,M
birkita ,F
birney ,M
birtle ,M
bishop ,M
bithron ,F
bitia ,F
biviano ,M
bjorn ,M
blabino ,M
blade ,M
bladimir ,M
bladimiro ,M
bladino ,M
bladomera ,F
bladomero ,M
blaine ,M
blair ,A
